,Film Name, Box Office Gross 
7033,Three Coins in the Fountain (1954),
7170,From Here to Eternity (1953),
7171,Julius Caesar (1953),
7172,The Robe (1953),
7173,Roman Holiday (1953),
7174,Shane (1953),
7305,The Greatest Show on Earth (1952),
7306,High Noon (1952),
7307,Ivanhoe (1952),
7308,Moulin Rouge (1952),
7309,The Quiet Man (1952),
7441,An American in Paris (1951),
7442,Decision before Dawn (1951),
7443,A Place in the Sun (1951),
7444,Quo Vadis (1951),
7445,A Streetcar Named Desire (1951),
7560,All about Eve (1950),
7561,Born Yesterday (1950),
7562,Father of the Bride (1950),
7563,King Solomon's Mines (1950),
7564,Sunset Blvd. (1950),
7672,All the King's Men (1949),
7673,Battleground (1949),
7674,The Heiress (1949),
7675,A Letter to Three Wives (1949),
7676,Twelve O'Clock High (1949),
7794,Hamlet (1948),
7795,Johnny Belinda (1948),
7796,The Red Shoes (1948),
7797,The Snake Pit (1948),
7798,The Treasure of the Sierra Madre (1948),
7903,The Bishop's Wife (1947),
7904,Crossfire (1947),
7905,Gentleman's Agreement (1947),
7906,Great Expectations (1947),
7907,Miracle on 34th Street (1947),
8016,The Best Years of Our Lives (1946),
8017,Henry V (1946),
8018,It's a Wonderful Life (1946),
8019,The Razor's Edge (1946),
8020,The Yearling (1946),
8172,Anchors Aweigh (1945),
8173,The Bells of St. Mary's (1945),
8174,The Lost Weekend (1945),
8175,Mildred Pierce (1945),
8176,Spellbound (1945),
8346,Double Indemnity (1944),
8347,Gaslight (1944),
8348,Going My Way (1944),
8349,Since You Went Away (1944),
8350,Wilson (1944),
8535,Casablanca (1943),
8536,For Whom the Bell Tolls (1943),
8537,Heaven Can Wait (1943),
8538,The Human Comedy (1943),
8539,In Which We Serve (1943),
8540,Madame Curie (1943),
8541,The More the Merrier (1943),
8542,The Ox-Bow Incident (1943),
8543,The Song of Bernadette (1943),
8544,Watch on the Rhine (1943),
8723,The Invaders (1942),
8724,Kings Row (1942),
8725,The Magnificent Ambersons (1942),
8726,Mrs. Miniver (1942),
8727,The Pied Piper (1942),
8728,The Pride of the Yankees (1942),
8729,Random Harvest (1942),
8730,The Talk of the Town (1942),
8731,Wake Island (1942),
8732,Yankee Doodle Dandy (1942),
8904,Blossoms in the Dust (1941),
8905,Citizen Kane (1941),
8906,Here Comes Mr. Jordan (1941),
8907,Hold Back the Dawn (1941),
8908,How Green Was My Valley (1941),
8909,The Little Foxes (1941),
8910,The Maltese Falcon (1941),
8911,One Foot in Heaven (1941),
8912,Sergeant York (1941),
8913,Suspicion (1941),
9081,"All This, and Heaven Too (1940)",
9082,Foreign Correspondent (1940),
9083,The Grapes of Wrath (1940),
9084,The Great Dictator (1940),
9085,Kitty Foyle (1940),
9086,The Letter (1940),
9087,The Long Voyage Home (1940),
9088,Our Town (1940),
9089,The Philadelphia Story (1940),
9090,Rebecca (1940),
9234,Dark Victory (1939),
9235,Gone with the Wind (1939),
9236,"Goodbye, Mr. Chips (1939)",
9237,Love Affair (1939),
9238,Mr. Smith Goes to Washington (1939),
9239,Ninotchka (1939),
9240,Of Mice and Men (1939),
9241,Stagecoach (1939),
9242,The Wizard of Oz (1939),
9243,Wuthering Heights (1939),
9385,The Adventures of Robin Hood (1938),
9386,Alexander's Ragtime Band (1938),
9387,Boys Town (1938),
9388,The Citadel (1938),
9389,Four Daughters (1938),
9390,Grand Illusion (1938),
9391,Jezebel (1938),
9392,Pygmalion (1938),
9393,Test Pilot (1938),
9394,You Can't Take It with You (1938),
9508,The Awful Truth (1937),
9509,Captains Courageous (1937),
9510,Dead End (1937),
9511,The Good Earth (1937),
9512,In Old Chicago (1937),
9513,The Life of Emile Zola (1937),
9514,Lost Horizon (1937),
9515,One Hundred Men and a Girl (1937),
9516,Stage Door (1937),
9517,A Star Is Born (1937),
9631,Anthony Adverse (1936),
9632,Dodsworth (1936),
9633,The Great Ziegfeld (1936),
9634,Libeled Lady (1936),
9635,Mr. Deeds Goes to Town (1936),
9636,Romeo and Juliet (1936),
9637,San Francisco (1936),
9638,The Story of Louis Pasteur (1936),
9639,A Tale of Two Cities (1936),
9640,Three Smart Girls (1936),
9728,Alice Adams (1935),
9729,Broadway Melody of 1936 (1935),
9730,Captain Blood (1935),
9731,David Copperfield (1935),
9732,The Informer (1935),
9733,Les Miserables (1935),
9734,The Lives of a Bengal Lancer (1935),
9735,A Midsummer Night's Dream (1935),
9736,Mutiny on the Bounty (1935),
9737,Naughty Marietta (1935),
9738,Ruggles of Red Gap (1935),
9739,Top Hat (1935),
9814,The Barretts of Wimpole Street (1934),
9815,Cleopatra (1934),
9816,Flirtation Walk (1934),
9817,The Gay Divorcee (1934),
9818,Here Comes the Navy (1934),
9819,The House of Rothschild (1934),
9820,Imitation of Life (1934),
9821,It Happened One Night (1934),
9822,One Night of Love (1934),
9823,The Thin Man (1934),
9824,Viva Villa! (1934),
9825,The White Parade (1934),
9871,Cavalcade (1932/33),
9872,A Farewell to Arms (1932/33),
9873,42nd Street (1932/33),
9874,I Am a Fugitive from a Chain Gang (1932/33),
9875,Lady for a Day (1932/33),
9876,Little Women (1932/33),
9877,The Private Life of Henry VIII (1932/33),
9878,She Done Him Wrong (1932/33),
9879,Smilin' Through (1932/33),
9880,State Fair (1932/33),
9936,Arrowsmith (1931/32),
9937,Bad Girl (1931/32),
9938,The Champ (1931/32),
9939,Five Star Final (1931/32),
9940,Grand Hotel (1931/32),
9941,One Hour with You (1931/32),
9942,Shanghai Express (1931/32),
9943,The Smiling Lieutenant (1931/32),
9993,Cimarron (1930/31),
9994,East Lynne (1930/31),
9995,The Front Page (1930/31),
9996,Skippy (1930/31),
9997,Trader Horn (1930/31),
10045,All Quiet on the Western Front (1929/30),
10046,The Big House (1929/30),
10047,Disraeli (1929/30),
10048,The Divorcee (1929/30),
10049,The Love Parade (1929/30),
10087,Feature Productions (1928/29),
10088,In Old Arizona (1928/29),
10089,The Broadway Melody (1928/29),
10090,Hollywood Revue (1928/29),
10091,The Patriot (1928/29),
10117,The Racket (1927/28),
10118,7th Heaven (1927/28),
10119,Wings (1927/28),
