Year,Won?,Acting Noms,Acting Wins,Writing Noms,Writing Wins,Directing Noms,Directing Wins,Cinematography Noms,Cinematography Wins,Editing Noms,Editing Wins,Production Design Noms,Production Design Wins,Sound Noms,Sound Wins,Total Nominations,Total Wins
1949,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,2
1949,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,3,2
1948,1,2,1,0,0,1,0,0,0,0,0,2,2,1,0,6,3
1948,0,4,1,1,0,1,0,1,0,1,0,1,0,2,0,11,1
1948,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,4,2
1948,0,1,0,1,0,1,0,0,0,0,0,0,0,2,1,5,1
1948,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3,3
1947,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,4,1
1947,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0
1947,1,4,1,1,0,1,1,0,0,1,0,0,0,0,0,7,2
1947,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,4,2
1947,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,3,3
1946,1,2,2,1,1,1,1,0,0,1,1,0,0,2,1,7,6
1946,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0
1946,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,4,0
1946,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,3,1
1946,0,2,0,0,0,1,0,1,1,1,0,1,1,0,0,6,2
1945,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,4,1
1945,0,2,0,0,0,1,0,0,0,1,0,0,0,3,1,7,1
1945,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,6,3
1945,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,5,1
1945,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,4,1
1944,0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,6,0
1944,0,3,1,1,0,0,0,1,0,0,0,1,1,0,0,6,2
1944,1,3,2,2,2,1,1,1,0,1,0,0,0,1,1,9,6
1944,0,3,0,0,0,0,0,1,0,1,0,1,0,1,1,7,1
1944,0,1,0,1,1,1,0,1,1,1,1,1,1,2,1,8,5
1943,1,2,0,1,1,1,1,1,0,1,0,0,0,1,0,7,2
1943,0,4,1,0,0,0,0,1,0,1,0,1,0,1,0,8,1
1943,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0
1943,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,4,1
1943,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1943,0,2,0,0,0,0,0,1,0,0,0,1,0,2,0,6,0
1943,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,5,1
1943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1943,0,4,1,1,0,1,0,1,1,1,0,1,1,2,1,11,4
1943,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1
1942,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,1
1942,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0
1942,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0
1942,1,5,2,1,1,1,1,1,1,1,0,0,0,1,0,10,5
1942,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
1942,0,2,0,2,0,0,0,1,0,1,1,1,0,2,0,9,1
